model,loss,run_dir,best_epoch,best_test_loss,final_test_loss,final_test_acc
dilated,bce,dilated_bce_sz128_bs6,19,0.09553040936589241,0.09995799272188119,0.960882080078125
dilated,bce,dilated_bce_tv_sz128_bs6,20,0.1137652981671549,0.1137652981671549,0.954235107421875
dilated,dice,dilated_dice_sz128_bs6,1,0.5402036309242249,0.9997719490811938,0.72125
dilated,focal,dilated_focal_sz128_bs6,20,0.010611496200518948,0.010611496200518948,0.9583155517578125
encdec,bce,encdec_bce_tv_sz128_bs6,20,0.10653437328125749,0.10653437328125749,0.9576385498046875
encdec,bce,encdec_bce_sz128_bs6,19,0.11308581878741582,0.11337183744070076,0.951855224609375
encdec,dice,encdec_dice_sz128_bs6,18,0.06829873082183656,0.07197265468892597,0.9622117919921875
encdec,focal,encdec_focal_sz128_bs6,19,0.009910416462281276,0.009925916086926702,0.955269287109375
unet,bce,unet_bce_sz128_bs6,19,0.09960066535997958,0.10003361939674332,0.958499267578125
unet,bce,unet_bce_tv_sz128_bs6,20,0.15304277180915787,0.15304277180915787,0.9366591796875
unet,dice,unet_dice_sz128_bs6,3,0.43183733380976175,0.9997719455332983,0.72125
unet,focal,unet_focal_sz128_bs6,20,0.009855353511825558,0.009855353511825558,0.9582158203125
